"Name","Status","Definition","Acronym","Related Terms","Synonyms","Stewards","[Attribute][TermTemplate1]Foo"
"Term 1","Draft","Definition of Term 1", "TN1","","","thanh.truong@hm.com:abc", "Foo1"
"Term 2","Draft","Definition of Term 2", "TN2","","","thanh.truong@hm.com:abc", "Foo2"
"Term 3","Draft","Definition of Term 3", "TN3","","","thanh.truong@hm.com:abc", "Foo3"
"Term 4","Draft","Definition of Term 4", "TN4","","","thanh.truong@hm.com:abc", "Foo4"
"Term 5","Draft","Definition of Term 5", "TN5","","","thanh.truong@hm.com:abc", "Foo5"
"Term 6","Draft","Definition of Term 6", "TN6","","","thanh.truong@hm.com:abc", "Foo6"
"Term 7","Draft","Definition of Term 7", "TN7","","","thanh.truong@hm.com:abc", "Foo7"
"Term 8","Draft","Definition of Term 8", "TN8","","","thanh.truong@hm.com:abc", "Foo8"
"Term 9","Draft","Definition of Term 9", "TN9","","","thanh.truong@hm.com:abc", "Foo9"
"Term 10","Draft","Definition of Term 10", "TN10","","","thanh.truong@hm.com:abc", "Foo10"
"Term 11","Draft","Definition of Term 11", "TN11","","","thanh.truong@hm.com:abc", "Foo11"
"Term 12","Draft","Definition of Term 12", "TN12","","","thanh.truong@hm.com:abc", "Foo12"
"Term 13","Draft","Definition of Term 13", "TN13","","","thanh.truong@hm.com:abc", "Foo113"
"Term 14","Draft","Definition of Term 14", "TN14","","","thanh.truong@hm.com:abc", "Foo14"
"Term 15","Draft","Definition of Term 15", "TN15","","","thanh.truong@hm.com:abc", "Foo15"
"Term 16","Draft","Definition of Term 16", "TN16","","","thanh.truong@hm.com:abc", "Foo16"
